****** begin! ******
****** step1 ******
episode 0, total reward -444.3598298980317
episode 733, total reward -430.4042426974648
episode 734, total reward -466.8987454032742
episode 735, total reward -439.27818224496446
episode 736, total reward -362.2827861464827
episode 737, total reward -462.28885812166885
episode 738, total reward -622.4930649128121
episode 739, total reward -466.56160661068304
episode 740, total reward -575.0094425728354
start test!
average_test_reward_sum = -463.533476288245
episode 741, total reward -506.19037122904757
episode 742, total reward -380.0745022519971
episode 743, total reward -352.39503877677674
episode 744, total reward -346.7827989417752
episode 745, total reward -363.4359193804074
episode 746, total reward -374.0879840650692
episode 747, total reward -365.00475688112107
episode 748, total reward -367.86396285297707
episode 749, total reward -625.3855902064996
episode 750, total reward -483.98735380199105
episode 751, total reward -670.1280564480264
episode 752, total reward -269.7777084938063
episode 753, total reward -469.83085498261926
